sample	library	treatment	label	terminal_length_bp	imputed_vcf_generated	used_in_fixed_comparator_concordance	used_in_pca	used_in_ancibd64
ORT15	fu	raw	Uncorrected	0	yes	yes	yes	yes
ORT15	fu	trim5	Trim-5	5	yes	no	yes	yes
ORT15	fu	rescale5	Rescale-5	5	yes	no	yes	yes
ORT15	fu	rescale12	Rescale-12	12	yes	no	no	no
ORT15	fu	bamrefine5	bamRefine-5	5	yes	no	yes	yes
ORT15	nu	raw	Uncorrected	0	yes	yes	yes	yes
ORT15	nu	trim5	Trim-5	5	yes	yes	yes	yes
ORT15	nu	trim10	Trim-10	10	yes	yes	yes	no
ORT15	nu	rescale5	Rescale-5	5	yes	yes	yes	yes
ORT15	nu	rescale10	Rescale-10	10	yes	yes	yes	no
ORT15	nu	rescale12	Rescale-12	12	yes	yes	yes	no
ORT15	nu	bamrefine5	bamRefine-5	5	yes	yes	yes	yes
ORT15	nu	bamrefine10	bamRefine-10	10	yes	yes	yes	no
ORT16	fu	raw	Uncorrected	0	yes	yes	yes	yes
ORT16	fu	trim5	Trim-5	5	yes	no	yes	yes
ORT16	fu	rescale5	Rescale-5	5	yes	no	yes	yes
ORT16	fu	rescale12	Rescale-12	12	yes	no	no	no
ORT16	fu	bamrefine5	bamRefine-5	5	yes	no	yes	yes
ORT16	nu	raw	Uncorrected	0	yes	yes	yes	yes
ORT16	nu	trim5	Trim-5	5	yes	yes	yes	yes
ORT16	nu	trim10	Trim-10	10	yes	yes	yes	no
ORT16	nu	rescale5	Rescale-5	5	yes	yes	yes	yes
ORT16	nu	rescale10	Rescale-10	10	yes	yes	yes	no
ORT16	nu	rescale12	Rescale-12	12	yes	yes	yes	no
ORT16	nu	bamrefine5	bamRefine-5	5	yes	yes	yes	yes
ORT16	nu	bamrefine10	bamRefine-10	10	yes	yes	yes	no
